sex,age,education,job,eyesight,assistant,phoneModel,screenResolutionX,screenResolutionY,sharpness,aesthetic,familiarity,efficiency,bigFont,_id
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270f98796f14ef90e1038e9
1,64,高中,6.批发和零售业,老花眼,佩戴眼镜,AndroidOS,341,718,5,5,5,5,5,6270f99596f14ef90e1038ea
0,60,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,401,801,5,5,5,5,5,6270f9a196f14ef90e1038eb
1,65,高中,8.住宿和餐饮业,完全正常,无,AndroidOS,360,780,4,3,3,3,3,6270f9ae96f14ef90e1038ec
1,65,初中,1.农、林、牧、渔业,其他疾病,进行过手术,AndroidOS,400,889,3,3,3,3,3,6270f9b196f14ef90e1038ed
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9bd96f14ef90e1038ee
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9c996f14ef90e1038ef
0,61,初中,8.住宿和餐饮业,老花眼,无,AndroidOS,341,707,5,5,3,3,3,6270f9cd96f14ef90e1038f0
0,60,初中,,完全正常,无,AndroidOS,440,880,2,4,2,4,2,6270f9ce96f14ef90e1038f1
0,60,初中,4.电力、热力、燃气及水生产和供应业,老花眼,佩戴眼镜,iOS,810,1080,3,3,3,3,3,6270f9cf96f14ef90e1038f2
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9e696f14ef90e1038f3
0,62,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270f9e696f14ef90e1038f4
0,64,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,325,704,,,,,,6270f9ed96f14ef90e1038f5
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270f9ee96f14ef90e1038f6
1,65,初中,1.农、林、牧、渔业,其他疾病,进行过手术,AndroidOS,400,889,3,3,3,3,3,6270f9ef96f14ef90e1038f7
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa0a96f14ef90e1038f8
1,66,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,401,896,,,,,,6270fa1596f14ef90e1038f9
1,63,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,4,5,4,5,5,6270fa1b96f14ef90e1038fa
0,63,初中,15.居民服务、修理和其他服务业,近视,无,AndroidOS,360,780,4,5,5,5,5,6270fa1e96f14ef90e1038fb
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270fa2e96f14ef90e1038fc
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa3a96f14ef90e1038fd
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fa3a96f14ef90e1038fe
0,60,初中,4.电力、热力、燃气及水生产和供应业,老花眼,佩戴眼镜,iOS,810,1080,3,3,3,3,3,6270fa4296f14ef90e1038ff
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270fa5396f14ef90e103900
1,,,,老花眼,无,AndroidOS,360,800,5,5,5,5,5,6270fa5396f14ef90e103901
1,66,初中,2.采矿业,老花眼,无,iOS,428,926,3,3,3,3,3,6270fa6496f14ef90e103902
1,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,,3,4,3,4,6270fa6596f14ef90e103903
0,65,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,867,3,4,5,4,3,6270fa6c96f14ef90e103904
0,61,初中,8.住宿和餐饮业,完全正常,无,AndroidOS,700,1167,5,5,5,5,5,6270fa6d96f14ef90e103905
0,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,867,2,2,2,2,2,6270fa7796f14ef90e103906
1,61,初中,,老花眼,佩戴眼镜,AndroidOS,401,889,,,,,,6270fa7e96f14ef90e103907
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fa8b96f14ef90e103908
0,64,高中,16.教育,老花眼,无,AndroidOS,400,889,2,2,3,2,3,6270fa9096f14ef90e103909
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270faa496f14ef90e10390a
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270faa496f14ef90e10390b
1,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,360,760,5,5,5,5,5,6270faa896f14ef90e10390c
0,,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,401,858,3,2,3,3,2,6270fab196f14ef90e10390d
0,62,初中,6.批发和零售业,老花眼,佩戴眼镜,iOS,414,896,3,3,4,4,5,6270fac396f14ef90e10390e
1,65,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,400,889,5,4,3,4,4,6270face96f14ef90e10390f
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270face96f14ef90e103910
1,63,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,401,845,4,,,,,6270facf96f14ef90e103911
0,62,高中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,800,5,5,3,4,2,6270fad696f14ef90e103912
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb1096f14ef90e103913
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fb2596f14ef90e103914
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,5,5,,,5,6270fb2596f14ef90e103915
0,62,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,889,2,2,3,3,3,6270fb2596f14ef90e103916
1,61,初中,,老花眼,佩戴眼镜,AndroidOS,401,889,,,,,,6270fb2896f14ef90e103917
1,16,初中,,近视,佩戴眼镜,AndroidOS,400,889,3,2,3,3,2,6270fb3696f14ef90e103918
0,64,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,737,5,4,5,5,5,6270fb3f96f14ef90e103919
0,62,小学,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,,,,,,6270fb4696f14ef90e10391a
0,,初中,1.农、林、牧、渔业,近视,无,iOS,375,812,4,3,3,2,4,6270fb4896f14ef90e10391b
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,360,640,2,2,3,2,5,6270fb7096f14ef90e10391c
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb7096f14ef90e10391d
1,,初中,1.农、林、牧、渔业,,无,AndroidOS,341,737,4,4,3,3,5,6270fb7096f14ef90e10391e
0,,高中,18.文化、体育和娱乐业,近视,佩戴眼镜,AndroidOS,400,712,4,5,4,4,3,6270fb7596f14ef90e10391f
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,360,780,4,4,4,3,4,6270fb7b96f14ef90e103920
0,62,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,360,640,3,3,3,3,3,6270fb8d96f14ef90e103921
1,,初中,,近视,佩戴眼镜,AndroidOS,600,960,5,5,5,5,5,6270fb9696f14ef90e103922
1,,高中,16.教育,老花眼,进行过手术,AndroidOS,400,832,5,4,4,5,5,6270fb9996f14ef90e103923
1,65,初中,,完全正常,无,AndroidOS,360,800,5,5,4,5,4,6270fbac96f14ef90e103924
0,61,高中,17.卫生和社会工作,近视,佩戴眼镜,AndroidOS,400,845,4,4,5,5,5,6270fbb796f14ef90e103925
0,64,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,737,5,4,5,5,5,6270fbb896f14ef90e103926
0,64,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,440,978,3,3,3,3,3,6270fbbb96f14ef90e103927
0,,高中,18.文化、体育和娱乐业,近视,佩戴眼镜,AndroidOS,400,712,4,5,4,4,3,6270fbbc96f14ef90e103928
0,66,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,4,3,4,3,3,6270fbd796f14ef90e103929
0,,本科,16.教育,老花眼,无,AndroidOS,400,856,,5,5,5,5,6270fbe696f14ef90e10392a
0,,高中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,341,756,3,3,3,4,4,6270fbfd96f14ef90e10392b
0,,初中,8.住宿和餐饮业,老花眼,佩戴眼镜,AndroidOS,341,718,5,5,5,5,5,6270fc2996f14ef90e10392c
0,,高中,16.教育,老花眼,无,AndroidOS,360,760,5,5,3,4,4,6270fc3996f14ef90e10392d
0,62,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,867,3,4,3,5,4,6270fc4196f14ef90e10392e
0,65,未受过教育,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,712,4,2,3,2,3,6270fc7e96f14ef90e10392f
0,61,初中,,完全正常,无,AndroidOS,400,889,4,4,4,4,4,6270fc8096f14ef90e103930
0,,,,老花眼,佩戴眼镜,AndroidOS,360,804,5,,1,3,,6270fc8596f14ef90e103931
0,,,16.教育,完全正常,无,AndroidOS,360,780,3,,4,4,2,6270fca396f14ef90e103932
1,,初中,,近视,佩戴眼镜,AndroidOS,360,780,1,,,,,6270fca996f14ef90e103933
0,60,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,1,1,1,1,1,6270fca996f14ef90e103934
1,66,初中,2.采矿业,近视,佩戴眼镜,AndroidOS,400,712,4,5,3,5,2,6270fcb796f14ef90e103935
0,,初中,,老花眼,佩戴眼镜,AndroidOS,360,800,2,3,5,4,3,6270fcbb96f14ef90e103936
0,63,初中,16.教育,老花眼,佩戴眼镜,AndroidOS,700,1120,2,3,3,5,4,6270fcbe96f14ef90e103937
0,61,初中,20.国际组织,近视,无,AndroidOS,422,843,5,5,5,5,5,6270fcd096f14ef90e103938
0,61,初中,6.批发和零售业,完全正常,无,AndroidOS,400,889,3,4,3,4,2,6270fcd696f14ef90e103939
1,62,高中,20.国际组织,完全正常,进行过手术,AndroidOS,401,889,5,1,3,5,1,6270fce196f14ef90e10393a
0,,小学,1.农、林、牧、渔业,老花眼,无,AndroidOS,360,640,3,2,3,3,5,6270fce196f14ef90e10393b
0,,初中,1.农、林、牧、渔业,老花眼,无,AndroidOS,400,867,3,3,3,3,3,6270fce296f14ef90e10393c
0,63,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,iOS,414,736,5,5,5,5,5,6270fce296f14ef90e10393d
0,63,高中,6.批发和零售业,完全正常,无,AndroidOS,303,655,4,4,3,4,3,6270fcfc96f14ef90e10393e
0,61,初中,6.批发和零售业,完全正常,无,AndroidOS,400,889,3,4,3,4,2,6270fd0396f14ef90e10393f
0,,初中,,近视,佩戴眼镜,AndroidOS,360,720,3,3,3,3,3,6270fd1196f14ef90e103940
0,61,小学,1.农、林、牧、渔业,近视,无,AndroidOS,400,867,3,3,4,5,3,6270fd1796f14ef90e103941
0,63,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,iOS,414,736,5,5,5,5,5,6270fd2396f14ef90e103942
0,60,高中,1.农、林、牧、渔业,完全正常,无,AndroidOS,400,889,5,3,4,5,3,6270fd4696f14ef90e103943
0,62,初中,9.信息传输、软件和信息技术服务业,完全正常,无,AndroidOS,400,800,2,4,3,4,2,6270fd4d96f14ef90e103944
1,65,初中,7.交通运输、仓储和邮政业,老花眼,佩戴眼镜,AndroidOS,401,889,5,5,3,5,5,6270fd5e96f14ef90e103945
0,,初中,,近视,佩戴眼镜,AndroidOS,360,720,3,3,3,3,3,6270fd8296f14ef90e103946
0,60,高中,1.农、林、牧、渔业,老花眼,无,AndroidOS,340,756,3,4,3,4,3,6270fd8396f14ef90e103947
0,,高中,17.卫生和社会工作,完全正常,无,AndroidOS,360,780,5,5,5,5,,6270fdb596f14ef90e103948
1,,,,完全正常,无,AndroidOS,401,889,5,5,5,5,5,6270fdb996f14ef90e103949
0,,高中,16.教育,老花眼,佩戴眼镜,AndroidOS,400,867,5,4,3,5,4,6270fdcb96f14ef90e10394a
1,61,高中,16.教育,近视,佩戴眼镜,AndroidOS,360,800,5,5,5,5,5,6270fde896f14ef90e10394b
0,63,高中,1.农、林、牧、渔业,近视,无,AndroidOS,341,760,,,,,,6270fdf896f14ef90e10394c
1,63,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,400,889,4,3,4,4,4,6270fdfc96f14ef90e10394d
1,62,初中,6.批发和零售业,完全正常,无,AndroidOS,400,867,3,4,3,3,3,6270fe0496f14ef90e10394e
0,,初中,17.卫生和社会工作,完全正常,无,AndroidOS,360,800,5,5,5,5,3,6270fe0a96f14ef90e10394f
0,60,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,360,640,3,3,5,5,4,6270fe6e96f14ef90e103950
0,45,高中,10.金融业,完全正常,无,AndroidOS,360,780,5,5,3,4,5,6270fe7196f14ef90e103951
1,66,高中,20.国际组织,近视,佩戴眼镜,AndroidOS,400,889,5,2,2,2,2,6270fe7596f14ef90e103952
1,,初中,16.教育,老花眼,无,AndroidOS,360,780,3,3,4,,4,6270fe7996f14ef90e103953
0,45,高中,10.金融业,完全正常,无,AndroidOS,360,780,5,5,3,4,5,6270fe8c96f14ef90e103954
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,341,737,5,5,4,4,4,6270feab96f14ef90e103955
iOS,375,667,58,0,本科,16.教育,近视,佩戴眼镜,5,5,5,5,5,6270feb496f14ef90e103956
1,62,小学,1.农、林、牧、渔业,其他疾病,无,AndroidOS,400,857,4,5,3,4,5,6270feb896f14ef90e103957
0,62,高中,16.教育,完全正常,无,AndroidOS,360,780,3,3,3,4,4,6270ff0f96f14ef90e103958
0,57,本科,16.教育,完全正常,无,AndroidOS,400,889,4,5,4,5,4,6270ff6796f14ef90e103959
1,14,初中,,完全正常,,AndroidOS,400,889,5,5,5,5,5,6270ff7796f14ef90e10395a
iOS,375,667,58,0,本科,16.教育,近视,佩戴眼镜,5,5,5,5,5,6270ff8096f14ef90e10395b
0,63,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,440,980,5,5,5,5,5,6270ff9696f14ef90e10395c
0,62,初中,16.教育,近视,佩戴眼镜,AndroidOS,400,800,5,5,5,5,5,6270ff9996f14ef90e10395d
0,64,小学,1.农、林、牧、渔业,老花眼,佩戴眼镜,AndroidOS,325,704,,,,,,6270ffbb96f14ef90e10395e
0,,本科,16.教育,完全正常,无,AndroidOS,400,885,,,,,,6270ffc396f14ef90e10395f
0,,本科,16.教育,完全正常,无,AndroidOS,400,885,,,,,,6270ffc396f14ef90e103960
1,61,初中,1.农、林、牧、渔业,近视,佩戴眼镜,AndroidOS,401,889,3,3,4,5,4,6270ffe196f14ef90e103961
0,63,初中,1.农、林、牧、渔业,老花眼,佩戴眼镜,iOS,414,736,5,5,5,5,5,6271000a96f14ef90e103962
0,,初中,1.农、林、牧、渔业,完全正常,无,AndroidOS,360,803,,,,,,6271002096f14ef90e103963
0,61,初中,6.批发和零售业,近视,佩戴眼镜,AndroidOS,400,712,2,3,3,2,3,6271004a96f14ef90e103964
